,,,,VAR ETAT SYSTEME,,,VAR STATS,
HS,TYPE EVT TRAITE, ECHEANCIER, ETAT GUICHET(0=LIBRE/1=OCCUPE),NB CLIENT DANS LA QUEUE,QUEUE,NB CLIENTS RECUS, ATTENTE GLOBALE AVANT SERVICE
193.21346,DepCl,AccSrv 193.21346,0,6,,41,838.95935,
193.21346,AccSrv,DepCl 198.37346,0,6,,41,871.0966,
196.14601,ArrCl,AccFA 196.14601  |   ArrCl 198.54808,1,6,,42,871.0966,
196.14601,AccFA,,1,5,,42,871.0966,
198.37346,DepCl,AccSrv 198.37346,0,5,,42,871.0966,
198.37346,AccSrv,DepCl 203.53346,0,6,,42,907.13806,
198.54808,ArrCl,AccFA 198.54808  |   ArrCl 213.75145,1,5,,43,907.13806,
198.54808,AccFA,,1,5,,43,907.13806,
203.53346,DepCl,AccSrv 203.53346,0,5,,43,907.13806,
203.53346,AccSrv,DepCl 208.69347,0,6,,43,940.5914,
208.69347,DepCl,AccSrv 208.69347,0,5,,43,940.5914,
208.69347,AccSrv,DepCl 213.85347,0,5,,43,977.0598,
213.75145,ArrCl,AccFA 213.75145  |   ArrCl 214.01904,1,5,,44,977.0598,
213.75145,AccFA,,1,4,,44,977.0598,
213.85347,DepCl,AccSrv 213.85347,0,4,,44,977.0598,
213.85347,AccSrv,DepCl 219.01347,0,5,,44,1008.77094,
214.01904,ArrCl,AccFA 214.01904  |   ArrCl 240.42303,1,4,,45,1008.77094,
214.01904,AccFA,,1,4,,45,1008.77094,
219.01347,DepCl,AccSrv 219.01347,0,4,,45,1008.77094,
219.01347,AccSrv,DepCl 224.17348,0,5,,45,1040.304,
224.17348,DepCl,AccSrv 224.17348,0,4,,45,1040.304,
224.17348,AccSrv,DepCl 229.33348,0,4,,45,1068.3314,
229.33348,DepCl,AccSrv 229.33348,0,3,,45,1068.3314,
229.33348,AccSrv,DepCl 234.49348,0,3,,45,1099.1168,
234.49348,DepCl,AccSrv 234.49348,0,2,,45,1099.1168,
234.49348,AccSrv,DepCl 239.65349,0,2,,45,1119.8589,
239.65349,DepCl,AccSrv 239.65349,0,1,,45,1119.8589,
239.65349,AccSrv,DepCl 244.81349,0,1,,45,1145.4933,
240.42303,ArrCl,AccFA 240.42303  |   ArrCl 244.70087,1,4,,46,1145.4933,
240.42303,AccFA,,1,0,,46,1145.4933,
244.70087,ArrCl,AccFA 244.70087  |   ArrCl 252.1044,1,0,,47,1145.4933,
244.70087,AccFA,,1,1,,47,1145.4933,
244.81349,DepCl,AccSrv 244.81349,0,0,,47,1145.4933,
244.81349,AccSrv,DepCl 249.9735,0,2,,47,1149.8838,
249.9735,DepCl,AccSrv 249.9735,0,1,,47,1149.8838,
249.9735,AccSrv,DepCl 255.1335,0,1,,47,1155.1564,
252.1044,ArrCl,AccFA 252.1044  |   ArrCl 256.53052,1,1,,48,1155.1564,
252.1044,AccFA,,1,0,,48,1155.1564,
255.1335,DepCl,AccSrv 255.1335,0,0,,48,1155.1564,
255.1335,AccSrv,DepCl 260.2935,0,1,,48,1158.1854,
256.53052,ArrCl,AccFA 256.53052  |   ArrCl 257.20404,1,0,,49,1158.1854,
256.53052,AccFA,,1,0,,49,1158.1854,
257.20404,ArrCl,AccFA 257.20404  |   ArrCl 263.1887,1,0,,50,1158.1854,
257.20404,AccFA,,1,1,,50,1158.1854,
260.2935,DepCl,AccSrv 260.2935,0,0,,50,1158.1854,
260.2935,AccSrv,DepCl 265.4535,0,2,,50,1161.9484,
263.1887,ArrCl,AccFA 263.1887  |   ArrCl 264.06732,1,1,,51,1161.9484,
263.1887,AccFA,,1,1,,51,1161.9484,
264.06732,ArrCl,AccFA 264.06732  |   ArrCl 274.8185,1,1,,52,1161.9484,
264.06732,AccFA,,1,2,,52,1161.9484,
265.4535,DepCl,AccSrv 265.4535,0,1,,52,1161.9484,
265.4535,AccSrv,DepCl 270.6135,0,3,,52,1170.1978,
270.6135,DepCl,AccSrv 270.6135,0,2,,52,1170.1978,
270.6135,AccSrv,DepCl 275.7735,0,2,,52,1177.6226,
274.8185,ArrCl,AccFA 274.8185  |   ArrCl 278.70947,1,2,,53,1177.6226,
274.8185,AccFA,,1,1,,53,1177.6226,
275.7735,DepCl,AccSrv 275.7735,0,1,,53,1177.6226,
275.7735,AccSrv,DepCl 280.9335,0,2,,53,1189.3287,
278.70947,ArrCl,AccFA 278.70947  |   ArrCl 280.21878,1,1,,54,1189.3287,
278.70947,AccFA,,1,1,,54,1189.3287,
280.21878,ArrCl,AccFA 280.21878  |   ArrCl 288.19415,1,1,,55,1189.3287,
280.21878,AccFA,,1,2,,55,1189.3287,
280.9335,DepCl,AccSrv 280.9335,0,1,,55,1189.3287,
280.9335,AccSrv,DepCl 286.0935,0,3,,55,1195.4437,
286.0935,DepCl,AccSrv 286.0935,0,2,,55,1195.4437,
286.0935,AccSrv,DepCl 291.2535,0,2,,55,1202.8278,
288.19415,ArrCl,AccFA 288.19415  |   ArrCl 295.3396,1,2,,56,1202.8278,
288.19415,AccFA,,1,1,,56,1202.8278,
291.2535,DepCl,AccSrv 291.2535,0,1,,56,1202.8278,
291.2535,AccSrv,DepCl 296.4135,0,2,,56,1213.8625,
295.3396,ArrCl,AccFA 295.3396  |   ArrCl 309.10883,1,1,,57,1213.8625,
295.3396,AccFA,,1,1,,57,1213.8625,
296.4135,DepCl,AccSrv 296.4135,0,1,,57,1213.8625,
296.4135,AccSrv,DepCl 301.57352,0,2,,57,1222.0819,
301.57352,DepCl,AccSrv 301.57352,0,1,,57,1222.0819,
301.57352,AccSrv,DepCl 306.73352,0,1,,57,1228.3158,
306.73352,DepCl,,0,0,,57,1228.3158,
309.10883,ArrCl,AccFA 309.10883  |   ArrCl 313.47815,1,1,,58,1228.3158,
309.10883,AccFA,AccSrv 309.10883,0,0,,58,1228.3158,
309.10883,AccSrv,DepCl 314.26883,1,1,,58,1228.3158,
313.47815,ArrCl,AccFA 313.47815  |   ArrCl 329.17548,0,0,,59,1228.3158,
313.47815,AccFA,,1,0,,59,1228.3158,
314.26883,DepCl,AccSrv 314.26883,0,0,,59,1228.3158,
314.26883,AccSrv,DepCl 319.42883,0,1,,59,1229.1064,
319.42883,DepCl,,0,0,,59,1229.1064,
329.17548,ArrCl,AccFA 329.17548  |   ArrCl 333.26288,1,0,,60,1229.1064,
329.17548,AccFA,AccSrv 329.17548,0,0,,60,1229.1064,
329.17548,AccSrv,DepCl 334.33548,1,1,,60,1229.1064,
333.26288,ArrCl,AccFA 333.26288  |   ArrCl 345.42505,0,0,,61,1229.1064,
333.26288,AccFA,,1,0,,61,1229.1064,
334.33548,DepCl,AccSrv 334.33548,0,0,,61,1229.1064,
334.33548,AccSrv,DepCl 339.49548,0,1,,61,1230.1791,
339.49548,DepCl,,0,0,,61,1230.1791,
345.42505,ArrCl,AccFA 345.42505  |   ArrCl 351.63516,1,0,,62,1230.1791,
345.42505,AccFA,AccSrv 345.42505,0,0,,62,1230.1791,
345.42505,AccSrv,DepCl 350.58505,1,1,,62,1230.1791,
350.58505,DepCl,,0,0,,62,1230.1791,
351.63516,ArrCl,AccFA 351.63516  |   ArrCl 356.41592,0,0,,63,1230.1791,
351.63516,AccFA,AccSrv 351.63516,0,0,,63,1230.1791,
351.63516,AccSrv,DepCl 356.79517,1,1,,63,1230.1791,
356.41592,ArrCl,AccFA 356.41592  |   ArrCl 373.90656,0,0,,64,1230.1791,
356.41592,AccFA,,1,0,,64,1230.1791,
356.79517,DepCl,AccSrv 356.79517,0,0,,64,1230.1791,
356.79517,AccSrv,DepCl 361.95517,0,1,,64,1230.5583,
361.95517,DepCl,,0,0,,64,1230.5583,
373.90656,ArrCl,AccFA 373.90656  |   ArrCl 378.46414,1,0,,65,1230.5583,
373.90656,AccFA,AccSrv 373.90656,0,0,,65,1230.5583,
373.90656,AccSrv,DepCl 379.06656,1,1,,65,1230.5583,
378.46414,ArrCl,AccFA 378.46414  |   ArrCl 386.22256,0,0,,66,1230.5583,
378.46414,AccFA,,1,0,,66,1230.5583,
379.06656,DepCl,AccSrv 379.06656,0,0,,66,1230.5583,
379.06656,AccSrv,DepCl 384.22656,0,1,,66,1231.1608,
384.22656,DepCl,,0,0,,66,1231.1608,
